,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('text', 'проблематичный')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015489892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'впрыгнуть')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019927301
"('text', 'безвозвратно')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5360226e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019924037
"('text', 'речной')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.426136e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019922892
"('text', 'испания')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.036151e-13,0.0,0.0,0.0,0.0,0.0,0.00015489892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'индустриализация')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2716098e-13,0.0,0.0,0.0,0.0,0.0,0.00015489892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'равнодушный')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'оперировать')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015489891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'земан')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.588791e-05,0.0,0.0,0.0,0.0,0.0,1.2060976e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'неформальный')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.636141e-05,0.0,0.0,0.0,0.0,0.0,1.0159717e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'воссоединиться')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,8.7744254e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'сириец')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,2.5218271e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'шойгу')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'ибаракат')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'биться')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'перекинуть')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'примирение')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,2.6217997e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'минновзрывной')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'залететь')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'баллон')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013280992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'бомба')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'самодельный')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'смкиров')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038770295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'вникание')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.639614e-05,0.0,0.0,0.0,0.0,0.0,2.056597e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'покидать')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', '4050')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'голодный')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'быстрянка')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'подвозиться')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
